,Estimated_Insects_Count,Crop_Type,Soil_Type,Pesticide_Use_Category,Number_Doses_Week,Number_Weeks_Used,Number_Weeks_Quit,Season,target
146,915,1,1,1,60,46,0,1,0
147,984,1,0,1,25,30,0,1,0
148,984,1,0,1,25,44,0,1,1
149,984,1,0,1,40,38,0,1,2
150,984,1,1,1,20,28,0,1,0
151,984,1,1,1,25,35,0,1,0
152,984,1,1,1,30,24,0,0,0
153,1056,1,0,1,20,27,0,2,0
154,1056,1,0,1,40,41,0,0,1
155,1056,1,0,1,40,29,0,1,1
156,1056,1,1,1,10,29,0,1,0
157,1056,1,1,1,25,45,0,1,0
158,1056,1,1,1,30,46,0,1,0
159,1056,1,1,1,35,30,0,1,0
160,1056,1,1,1,50,45,0,1,0
161,1056,1,1,1,60,45,0,0,0
162,1056,1,1,1,15,35,0,1,1
163,1056,1,1,1,50,47,0,1,1
164,1056,1,1,1,30,47,0,2,1
165,1056,1,1,1,10,42,0,2,2
166,1056,1,1,1,20,40,0,2,2
167,1056,1,1,1,30,27,0,1,2
168,1132,1,0,1,5,41,0,1,0
169,1132,1,0,1,5,44,0,1,0
170,1132,1,0,1,10,44,0,1,0
171,1132,1,0,1,20,28,0,1,0
172,1132,1,0,1,25,39,0,1,0
173,1132,1,0,1,30,25,0,1,0
174,1132,1,0,1,30,44,0,2,0
175,1132,1,0,1,50,37,0,1,0
176,1132,1,0,1,40,38,0,1,1
177,1132,1,0,1,40,36,0,2,1
178,1132,1,0,1,20,46,0,0,1
179,1132,1,0,1,40,45,0,0,2
180,1132,1,1,1,5,30,0,0,0
181,1132,1,1,1,20,17,0,0,0
182,1132,1,1,1,20,37,0,2,0
183,1132,1,1,1,25,29,0,2,0
184,1132,1,1,1,30,33,0,1,0
185,1132,1,1,1,80,38,0,1,0
186,1132,1,1,1,30,43,0,1,2
187,1212,1,0,1,5,42,0,1,0
188,1212,1,0,1,20,50,0,1,0
189,1212,1,0,1,35,39,0,0,0
190,1212,1,0,1,10,10,0,0,1
191,1212,1,0,1,20,45,0,2,1
192,1212,1,0,1,40,19,0,0,1
193,1212,1,0,1,40,46,0,2,1
194,1212,1,0,1,40,46,0,1,1
195,1212,1,0,1,40,45,0,2,1
196,1212,1,0,1,50,43,0,1,1
197,1212,1,0,1,20,42,0,2,2
198,1212,1,1,1,5,37,0,1,0
199,1212,1,1,1,20,24,0,1,0
200,1212,1,1,1,30,36,0,2,0
201,1212,1,1,1,45,39,0,1,0
202,1212,1,1,1,50,44,0,1,0
203,1212,1,1,1,50,47,0,0,0
204,1212,1,1,1,15,44,0,1,1
205,1212,1,1,1,20,44,0,0,1
206,1212,1,1,1,20,44,0,1,1
207,1212,1,1,1,30,44,0,1,2
208,1296,1,0,1,20,43,0,1,0
209,1297,1,0,1,45,43,0,1,0
210,1296,1,0,1,5,42,0,1,1
211,1296,1,0,1,10,42,0,1,1
212,1297,1,0,1,20,42,0,1,1
213,1296,1,0,1,25,32,0,1,1
214,1296,1,1,1,35,39,0,2,0
215,1296,1,1,1,40,41,0,1,0
216,1296,1,1,1,10,41,0,1,1
217,1385,1,0,1,15,31,0,1,0
218,1385,1,0,1,25,30,0,1,0
219,1385,1,0,1,25,46,0,2,0
220,1385,1,0,1,30,43,0,0,0
221,1385,1,0,1,40,30,0,1,0
222,1385,1,0,1,10,45,0,1,2
223,1385,1,0,1,40,45,0,2,2
224,1385,1,1,1,5,42,0,2,0
225,1385,1,1,1,10,30,0,1,0
226,1385,1,1,1,10,40,0,1,0
227,1385,1,1,1,25,32,0,1,0
228,1385,1,1,1,30,49,0,0,0
229,1385,1,1,1,35,35,0,2,0
230,1385,1,1,1,50,47,0,1,0
231,1385,1,1,1,20,44,0,1,1
232,1385,1,1,1,40,40,0,1,1
233,1385,1,1,1,10,40,0,1,1
234,1478,1,0,1,10,25,0,0,0
235,1478,1,0,1,15,53,0,0,0
236,1478,1,0,1,20,46,0,0,0
237,1478,1,0,1,40,24,0,1,0
238,1478,1,0,1,30,50,0,0,1
239,1478,1,0,1,20,37,0,0,1
240,1478,1,0,1,35,48,0,0,1
241,1478,1,0,1,30,34,0,1,1
242,1478,1,0,1,30,47,0,2,2
243,1478,1,1,1,5,44,0,1,0
244,1478,1,1,1,20,19,0,2,0
245,1478,1,1,1,30,51,0,0,0
246,1478,1,1,1,60,45,0,1,0
247,1478,1,1,1,60,50,0,0,0
248,1478,1,1,1,20,41,0,1,2
249,1576,1,0,1,15,41,0,1,0
250,1576,1,0,1,30,38,0,1,0
251,1576,1,0,1,50,38,0,1,0
252,1576,1,0,1,80,38,0,2,0
253,1576,1,0,1,30,50,0,2,1
254,1576,1,0,1,20,48,0,2,1
255,1576,1,0,1,25,48,0,1,1
256,1575,1,1,1,5,36,0,2,0
257,1576,1,1,1,10,37,0,0,0
258,1576,1,1,1,30,41,0,1,0
259,1576,1,1,1,60,45,0,1,0
260,1576,1,1,1,40,48,0,2,1
261,1678,1,0,1,10,50,0,1,0
262,1678,1,0,1,20,43,0,1,1
263,1678,1,0,1,10,40,0,1,1
264,1678,1,0,1,50,39,0,1,2
265,1678,1,0,1,5,44,0,1,2
266,1678,1,1,1,5,41,0,2,0
267,1678,1,1,1,10,45,0,0,0
268,1678,1,1,1,15,42,0,1,0
269,1678,1,1,1,20,44,0,2,0
270,1678,1,1,1,50,20,0,1,1
271,1785,1,0,1,10,20,0,0,0
272,1786,1,0,1,50,47,0,1,0
273,1785,1,0,1,20,51,0,1,1
274,1786,1,0,1,40,51,0,0,1
275,1785,1,0,1,40,50,0,0,1
276,1786,1,0,1,20,45,0,2,1
277,1786,1,1,1,15,36,0,1,0
278,1785,1,1,1,40,30,0,0,0
279,1785,1,1,1,40,51,0,0,0
280,1785,1,1,1,40,53,0,1,0
281,1786,1,1,1,45,34,0,1,0
282,1785,1,1,1,20,49,0,1,1
283,1785,1,1,1,20,49,0,0,1
284,1898,1,0,1,15,49,0,2,0
285,1898,1,0,1,30,51,0,1,0
286,1898,1,0,1,35,54,0,2,0
287,1898,1,0,1,40,45,0,2,1
288,1898,1,0,1,15,52,0,0,1
289,1898,1,0,1,30,49,0,1,1
290,1898,1,0,1,30,50,0,1,2
291,1898,1,1,1,5,50,0,0,0
292,1898,1,1,1,10,45,0,1,0
293,1898,1,1,1,5,50,0,1,1
294,1898,1,1,1,40,48,0,1,1
295,1898,1,1,1,20,41,0,2,1
296,1898,1,1,1,25,41,0,0,2
297,2015,1,0,1,15,38,0,1,0
298,2015,1,0,1,20,53,0,2,0
299,2015,1,0,1,50,53,0,1,0
300,2015,1,0,1,60,53,0,1,0
301,2016,1,0,1,30,40,0,1,1
302,2016,1,0,1,20,40,0,0,1
303,2016,1,0,1,15,47,0,1,1
304,2015,1,0,1,30,50,0,1,1
305,2016,1,0,1,60,54,0,1,2
306,2015,1,1,1,60,41,0,0,0
307,2016,1,1,1,20,49,0,0,1
308,2015,1,1,1,15,53,0,1,1
309,2016,1,1,1,30,52,0,2,1
310,2015,1,1,1,20,50,0,2,1
311,2015,1,1,1,20,50,0,1,1
312,2015,1,1,1,40,51,0,0,1
313,2139,1,0,1,40,55,0,0,0
314,2138,1,0,1,20,55,0,2,1
315,2138,1,0,1,40,52,0,0,1
316,2138,1,0,1,20,56,0,0,2
317,2139,1,1,1,20,20,0,0,0
318,2139,1,1,1,30,43,0,1,1
319,2267,1,0,1,10,53,0,0,0
320,2267,1,0,1,20,25,0,2,0
321,2267,1,0,1,20,46,0,1,0
322,2267,1,0,1,20,54,0,1,0
323,2267,1,0,1,20,61,0,1,0
324,2267,1,0,1,40,48,0,1,0
325,2267,1,0,1,90,55,0,0,0
326,2267,1,1,1,15,40,0,0,0
327,2267,1,1,1,10,40,0,0,1
328,2402,1,0,1,5,54,0,1,0
329,2401,1,0,1,15,35,0,1,0
330,2401,1,0,1,20,35,0,1,0
331,2401,1,0,1,30,45,0,1,1
332,2401,1,0,1,60,50,0,1,1
333,2401,1,0,1,40,50,0,1,1
334,2402,1,0,1,5,50,0,0,1
335,2402,1,0,1,60,55,0,1,1
336,2401,1,1,1,5,52,0,1,0
337,2401,1,1,1,15,18,0,1,0
338,2402,1,1,1,20,44,0,1,0
339,2402,1,1,1,40,56,0,1,0
340,2542,1,0,1,10,57,0,1,0
341,2541,1,0,1,15,57,0,0,0
342,2542,1,0,1,40,57,0,1,0
343,2541,1,0,1,20,55,0,0,1
344,2541,1,1,1,5,30,0,1,0
345,2541,1,1,1,30,53,0,0,0
346,2542,1,1,1,80,56,0,0,0
347,2542,1,1,1,10,54,0,1,1
348,2541,1,1,1,5,55,0,0,1
349,2688,1,0,1,30,62,0,1,0
350,2688,1,0,1,40,56,0,1,1
351,2688,1,0,1,20,54,0,1,2
352,2687,1,1,1,30,60,0,1,0
353,2687,1,1,1,30,56,0,2,1
354,2688,1,1,1,40,56,0,2,1
355,2688,1,1,1,40,51,0,1,2
356,2840,1,0,1,10,57,0,1,0
357,2840,1,0,1,15,55,0,0,0
358,2840,1,0,1,30,63,0,0,0
359,2840,1,0,1,20,53,0,0,1
360,2840,1,0,1,20,54,0,1,1
361,2840,1,0,1,30,60,0,0,2
362,2840,1,1,1,10,46,0,0,0
363,2999,1,0,1,30,60,0,1,1
364,2999,1,0,1,30,61,0,1,1
365,2999,1,1,1,15,49,0,1,0
366,2999,1,1,1,20,44,0,2,0
367,2999,1,1,1,10,54,0,2,1
368,3164,1,0,1,5,54,0,0,0
369,3165,1,0,1,20,62,0,2,0
370,3165,1,0,1,30,57,0,0,0
371,3165,1,0,1,5,60,0,2,1
372,3164,1,1,1,55,60,0,1,0
373,3336,1,0,1,5,56,0,1,1
374,3337,1,0,1,20,62,0,2,2
375,3337,1,1,1,10,66,0,1,0
376,3337,1,1,1,20,63,0,2,0
377,3337,1,1,1,15,60,0,2,2
378,3516,1,0,1,20,50,0,1,0
379,3516,1,0,1,30,55,0,1,0
380,3516,1,0,1,20,59,0,1,1
381,3702,1,0,1,10,60,0,2,0
382,3702,1,0,1,15,64,0,1,0
383,3702,1,0,1,20,63,0,1,1
384,3896,1,0,1,20,61,0,0,0
385,151,0,0,1,20,25,0,0,0
386,150,0,0,1,30,13,0,1,0
387,151,0,0,1,60,15,0,1,0
388,150,0,1,1,5,13,0,0,0
389,150,0,1,1,20,10,0,2,0
390,150,0,1,1,40,21,0,0,0
391,169,0,1,1,10,21,0,1,0
392,168,0,1,1,20,7,0,2,0
393,188,0,1,1,20,22,0,2,0
394,188,0,1,1,35,25,0,1,0
395,188,0,1,1,40,26,0,2,0
396,188,0,1,1,60,19,0,2,0
397,209,0,0,1,20,17,0,1,0
398,209,0,0,1,30,18,0,1,0
399,209,0,0,1,40,24,0,1,0
400,209,0,1,1,55,21,0,1,0
401,232,0,0,1,30,19,0,2,0
402,232,0,0,1,30,21,0,0,0
403,232,0,0,1,35,22,0,0,0
404,232,0,1,1,5,5,0,0,0
405,232,0,1,1,20,13,0,0,0
406,231,0,1,1,25,20,0,1,0
407,257,0,0,1,15,15,0,2,0
408,283,0,1,1,10,15,0,0,0
409,283,0,1,1,10,24,0,1,0
410,283,0,1,1,20,24,0,1,0
411,283,0,1,1,25,25,0,0,0
412,283,0,1,1,40,19,0,1,0
413,312,0,1,1,5,15,0,2,0
414,311,0,1,1,5,28,0,2,0
415,312,0,1,1,15,25,0,1,0
416,311,0,1,1,20,24,0,1,0
417,311,0,1,1,20,27,0,1,0
418,312,0,1,1,30,18,0,0,0
419,311,0,1,1,45,18,0,1,0
420,312,0,1,1,60,29,0,2,0
421,342,0,0,1,5,23,0,1,0
422,342,0,0,1,40,20,0,0,0
423,342,0,0,1,50,17,0,0,0
424,342,0,1,1,10,30,0,2,0
425,342,0,1,1,20,10,0,1,0
426,342,0,1,1,20,25,0,2,1
427,375,0,0,1,15,15,0,1,0
428,375,0,0,1,15,26,0,1,0
429,375,0,0,1,30,26,0,2,0
430,375,0,0,1,35,24,0,1,0
431,375,0,0,1,35,29,0,2,0
432,375,0,0,1,55,25,0,1,0
433,375,0,1,1,20,13,0,0,0
434,375,0,1,1,25,29,0,1,0
435,411,0,0,1,25,33,0,1,0
436,410,0,0,1,30,28,0,1,0
437,410,0,0,1,20,26,0,0,1
438,410,0,1,1,5,27,0,1,0
439,448,0,0,1,5,22,0,2,0
440,448,0,0,1,5,26,0,1,0
441,448,0,0,1,10,12,0,1,0
442,448,0,0,1,20,12,0,0,0
443,448,0,0,1,20,13,0,1,0
444,448,0,0,1,20,34,0,2,0
445,448,0,0,1,40,34,0,2,0
446,448,0,1,1,50,8,0,2,0
447,448,0,1,1,20,8,0,0,1
448,488,0,0,1,25,28,0,1,0
449,488,0,0,1,10,6,0,1,1
450,489,0,0,1,15,29,0,1,1
451,489,0,0,1,35,31,0,1,1
452,489,0,0,1,10,28,0,1,1
453,488,0,0,1,40,18,0,0,2
454,488,0,1,1,25,33,0,1,0
455,488,0,1,1,25,33,0,1,0
456,488,0,1,1,40,17,0,1,0
457,488,0,1,1,40,37,0,2,0
458,488,0,1,1,40,30,0,2,2
459,531,0,0,1,15,14,0,1,0
460,531,0,0,1,35,29,0,1,0
461,531,0,0,1,50,33,0,2,0
462,531,0,1,1,30,23,0,0,0
463,577,0,0,1,10,29,0,1,0
464,577,0,0,1,35,32,0,1,0
465,577,0,0,1,40,31,0,2,1
466,577,0,0,1,20,31,0,2,2
467,577,0,1,1,5,31,0,1,0
468,577,0,1,1,20,31,0,1,0
469,577,0,1,1,15,31,0,0,1
470,625,0,0,1,5,10,0,0,0
471,626,0,1,1,40,31,0,0,0
472,625,0,1,1,40,21,0,0,0
473,677,0,0,1,30,21,0,2,0
474,677,0,0,1,40,35,0,1,1
475,677,0,1,1,5,35,0,1,0
476,677,0,1,1,15,35,0,1,0
477,677,0,1,1,30,18,0,2,0
478,677,0,1,1,30,25,0,2,0
479,677,0,1,1,45,25,0,1,0
480,677,0,1,1,30,32,0,2,2
481,732,0,0,1,5,18,0,2,0
482,731,0,0,1,5,37,0,1,0
483,732,0,0,1,40,35,0,0,1
484,731,0,0,1,30,38,0,1,1
485,732,0,0,1,25,34,0,2,1
486,731,0,1,1,30,19,0,1,0
487,731,0,1,1,35,36,0,2,0
488,732,0,1,1,60,30,0,1,0
489,789,0,0,1,10,22,0,1,0
490,790,0,0,1,10,37,0,0,0
491,789,0,0,1,25,31,0,0,0
492,789,0,0,1,40,26,0,1,0
493,790,0,0,1,30,34,0,0,1
494,790,0,1,1,10,29,0,1,0
495,789,0,1,1,30,36,0,0,0
496,789,0,1,1,45,34,0,2,0
497,790,0,1,1,60,35,0,0,0
498,789,0,1,1,30,30,0,1,1
499,789,0,1,1,10,31,0,0,1
500,790,0,1,1,20,35,0,1,1
501,851,0,0,1,10,16,0,1,0
502,851,0,0,1,20,24,0,1,0
503,851,0,0,1,20,37,0,2,0
504,851,0,0,1,40,37,0,1,0
505,851,0,1,1,10,5,0,1,0
506,851,0,1,1,15,15,0,1,0
507,850,0,1,1,15,27,0,2,0
508,851,0,1,1,20,22,0,1,0
509,851,0,1,1,25,38,0,1,0
510,851,0,1,1,20,24,0,1,2
511,915,0,0,1,5,22,0,1,0
512,915,0,0,1,10,22,0,1,0
513,916,0,0,1,60,31,0,1,0
514,915,0,0,1,20,17,0,0,1
515,915,0,0,1,20,18,0,1,1
516,916,0,0,1,40,18,0,0,1
517,915,0,0,1,30,40,0,0,2
518,915,0,1,1,15,39,0,2,0
519,915,0,1,1,20,8,0,2,0
520,915,0,1,1,40,40,0,1,0
521,915,0,1,1,20,20,0,1,1
522,915,0,1,1,20,34,0,1,2
523,984,0,0,1,5,8,0,1,0
524,984,0,0,1,20,7,0,1,0
525,984,0,0,1,20,9,0,0,0
526,984,0,0,1,35,43,0,0,0
527,984,0,0,1,35,43,0,0,0
528,984,0,1,1,10,23,0,2,0
529,984,0,1,1,10,38,0,1,0
530,984,0,1,1,15,41,0,1,0
531,984,0,1,1,25,17,0,2,0
532,984,0,1,1,40,37,0,0,0
533,984,0,1,1,50,31,0,2,0
534,1056,0,0,1,30,41,0,0,0
535,1056,0,0,1,40,35,0,2,0
536,1056,0,0,1,45,37,0,0,0
537,1056,0,0,1,15,32,0,1,1
538,1056,0,1,1,5,31,0,1,0
539,1056,0,1,1,15,24,0,1,0
540,1056,0,1,1,20,24,0,1,0
541,1056,0,1,1,40,29,0,2,0
542,1056,0,1,1,40,37,0,1,1
543,1132,0,0,1,20,46,0,1,0
544,1132,0,0,1,30,39,0,0,0
545,1132,0,0,1,20,25,0,1,1
546,1132,0,1,1,10,31,0,1,0
547,1132,0,1,1,15,34,0,2,0
548,1132,0,1,1,35,45,0,1,0
549,1212,0,0,1,5,18,0,0,0
550,1212,0,0,1,10,44,0,2,0
551,1212,0,0,1,15,31,0,2,0
552,1212,0,0,1,15,40,0,0,0
553,1212,0,0,1,20,27,0,2,0
554,1212,0,0,1,40,44,0,1,0
555,1212,0,0,1,40,49,0,1,0
556,1212,0,0,1,25,44,0,1,1
557,1212,0,0,1,25,40,0,0,2
558,1212,0,1,1,10,32,0,1,0
559,1212,0,1,1,15,43,0,1,0
560,1212,0,1,1,20,23,0,0,0
561,1212,0,1,1,60,31,0,1,0
562,1212,0,1,1,20,31,0,1,1
563,1212,0,1,1,40,41,0,2,1
564,1296,0,0,1,5,48,0,0,0
565,1296,0,0,1,20,48,0,1,0
566,1296,0,0,1,30,35,0,2,0
567,1296,0,0,1,30,35,0,1,0
568,1296,0,0,1,10,25,0,2,1
569,1296,0,0,1,15,43,0,2,1
570,1297,0,0,1,20,44,0,0,1
571,1297,0,1,1,10,35,0,0,0
572,1297,0,1,1,15,34,0,0,0
573,1296,0,1,1,30,44,0,1,1
574,1296,0,1,1,40,42,0,1,1
575,1385,0,0,1,15,21,0,1,0
576,1385,0,0,1,15,28,0,0,0
577,1385,0,0,1,15,36,0,2,0
578,1385,0,0,1,20,37,0,1,0
579,1385,0,0,1,25,40,0,1,0
580,1385,0,0,1,30,36,0,1,0
581,1385,0,0,1,40,36,0,1,0
582,1385,0,0,1,30,42,0,1,1
583,1385,0,1,1,5,46,0,0,0
584,1385,0,1,1,10,46,0,1,0
585,1385,0,1,1,20,25,0,0,0
586,1385,0,1,1,30,47,0,2,0
587,1385,0,1,1,50,36,0,0,0
588,1385,0,1,1,5,42,0,1,1
589,1478,0,0,1,20,34,0,1,0
590,1478,0,0,1,25,14,0,2,0
591,1478,0,0,1,40,19,0,1,0
592,1478,0,0,1,20,45,0,0,1
593,1478,0,0,1,30,39,0,2,1
594,1478,0,0,1,5,49,0,1,1
595,1478,0,0,1,20,47,0,0,2
596,1478,0,1,1,5,47,0,0,0
597,1478,0,1,1,10,47,0,0,0
598,1478,0,1,1,30,25,0,1,0
599,1478,0,1,1,30,45,0,1,0
600,1478,0,1,1,50,45,0,1,0
601,1478,0,1,1,40,46,0,2,1
602,1576,0,0,1,15,37,0,0,0
603,1575,0,0,1,20,45,0,1,1
604,1576,0,0,1,25,46,0,1,1
605,1576,0,1,1,15,38,0,1,0
606,1575,0,1,1,15,38,0,2,0
607,1576,0,1,1,20,47,0,0,0
608,1576,0,1,1,40,42,0,0,0
609,1678,0,0,1,25,43,0,1,0
610,1678,0,0,1,10,40,0,1,1
611,1678,0,0,1,10,17,0,2,1
612,1678,0,0,1,25,48,0,1,2
613,1678,0,1,1,15,43,0,1,0
614,1678,0,1,1,40,40,0,2,0
615,1678,0,1,1,40,47,0,1,0
616,1678,0,1,1,40,40,0,1,1
617,1785,0,0,1,5,16,0,1,0
618,1785,0,0,1,10,14,0,1,0
619,1785,0,0,1,15,14,0,2,0
620,1786,0,0,1,20,18,0,2,0
621,1785,0,0,1,30,19,0,2,0
622,1785,0,0,1,35,43,0,1,0
623,1786,0,0,1,40,47,0,1,0
624,1786,0,0,1,20,49,0,0,1
625,1786,0,1,1,10,21,0,1,0
626,1786,0,1,1,20,23,0,0,0
627,1786,0,1,1,20,38,0,0,0
628,1785,0,1,1,30,42,0,2,0
629,1785,0,1,1,40,43,0,2,0
630,1785,0,1,1,30,43,0,1,1
631,1898,0,0,1,25,49,0,2,0
632,1898,0,0,1,40,26,0,2,1
633,1898,0,0,1,15,31,0,0,1
634,1898,0,0,1,20,50,0,2,2
635,1898,0,1,1,5,33,0,0,0
636,1898,0,1,1,15,26,0,1,0
637,1898,0,1,1,15,35,0,0,0
638,1898,0,1,1,20,14,0,1,0
639,1898,0,1,1,40,42,0,1,0
640,2016,0,0,1,5,17,0,0,0
641,2015,0,0,1,10,34,0,0,0
642,2016,0,0,1,20,27,0,1,0
643,2016,0,0,1,10,45,0,1,1
644,2016,0,0,1,15,53,0,1,1
645,2015,0,0,1,25,51,0,2,1
646,2016,0,1,1,5,48,0,1,0
647,2015,0,1,1,30,40,0,0,0
648,2016,0,1,1,30,49,0,0,1
649,2138,0,0,1,30,29,0,1,0
650,2139,0,0,1,20,49,0,2,1
651,2138,0,0,1,20,51,0,1,1
652,2138,0,1,1,5,45,0,0,0
653,2138,0,1,1,10,32,0,0,0
654,2139,0,1,1,15,29,0,1,0
655,2139,0,1,1,20,50,0,2,0
656,2138,0,1,1,25,55,0,1,0
657,2267,0,0,1,10,49,0,0,0
658,2267,0,0,1,20,49,0,0,0
659,2267,0,0,1,40,51,0,1,0
660,2267,0,0,1,20,47,0,0,1
661,2267,0,0,1,40,52,0,0,1
662,2267,0,1,1,5,20,0,0,0
663,2267,0,1,1,10,48,0,0,0
664,2267,0,1,1,20,49,0,2,0
665,2267,0,1,1,25,37,0,1,0
666,2267,0,1,1,20,49,0,0,1
667,2267,0,1,1,10,52,0,0,1
668,2402,0,0,1,10,52,0,1,1
669,2401,0,1,1,20,51,0,1,0
670,2402,0,1,1,20,42,0,2,1
671,2541,0,0,1,5,55,0,0,0
672,2541,0,0,1,10,54,0,2,0
